name,accuracy,recall,precision,f1_score,true_positive,true_negative,false_positive,false_negative
LogisticRegression,95.70996978851963,99.88151658767772,92.33296823658269,95.95902105862265,843,741,70,1
DecisionTree,93.65558912386706,97.6303317535545,90.64906490649065,94.01026811180832,824,726,85,20
RandomForest,96.49546827794562,99.88151658767772,93.66666666666667,96.67431192660551,843,754,57,1
