name,ratio,kernel_size,window_range,true_positive,true_negative,false_positive,false_negative,positive,negative,predict_positive,predict_negative,coffecients1
Logistic,0.2,201,"(1, 15)",23,192,6,20,43,198,29,212,"{'LAP1': -0.00896189738636264, 'MIS3': -0.001953578895475139, 'WAV1': 0.005160196734117425, 'GRA7': 0.0022666774452953743, 'STA3': -0.00020447328500619014, 'DCT3': 0.00897475593805412}"
Decision,0.2,201,"(1, 15)",23,192,6,20,43,198,29,212,
Random,0.2,201,"(1, 15)",23,192,6,20,43,198,29,212,
Logistic,0.25,3,"(1, 15)",24,197,8,21,45,205,32,218,"{'LAP1': -2.557105326155952, 'MIS3': -6.112647942271893, 'WAV1': 0.0033028890439698025, 'GRA7': -2.4452414931592235, 'STA3': -0.03156920055032827, 'DCT3': 0.617764867145103}"
Decision,0.25,3,"(1, 15)",24,197,8,21,45,205,32,218,
Random,0.25,3,"(1, 15)",24,197,8,21,45,205,32,218,
Logistic,0.25,5,"(1, 15)",26,197,8,19,45,205,34,216,"{'LAP1': -2.488288960793091, 'MIS3': -3.247402062319623, 'WAV1': 0.004399035150083703, 'GRA7': -2.6183724309408216, 'STA3': -0.06720255615163256, 'DCT3': 1.2824424416123175}"
Decision,0.25,5,"(1, 15)",26,197,8,19,45,205,34,216,
Random,0.25,5,"(1, 15)",26,197,8,19,45,205,34,216,
Logistic,0.25,7,"(1, 15)",23,197,8,22,45,205,31,219,"{'LAP1': -1.7016879473396738, 'MIS3': -2.3028285320096393, 'WAV1': 0.004750640799739198, 'GRA7': -0.39780511948656283, 'STA3': 0.019392222734099795, 'DCT3': 1.7678309240666918}"
Decision,0.25,7,"(1, 15)",23,197,8,22,45,205,31,219,
Random,0.25,7,"(1, 15)",23,197,8,22,45,205,31,219,
Logistic,0.25,11,"(1, 15)",26,197,8,19,45,205,34,216,"{'LAP1': -4.13607003358342, 'MIS3': -1.113182851571068, 'WAV1': 0.006975214595575459, 'GRA7': 1.2352002825870225, 'STA3': 0.8095755947993034, 'DCT3': 0.7512102342346778}"
Decision,0.25,11,"(1, 15)",26,197,8,19,45,205,34,216,
Random,0.25,11,"(1, 15)",26,197,8,19,45,205,34,216,
